The parameter values used or converged in the simulated result:
Initial LAI  =   0.03744
Parameter a = 0.00040726
Parameter b = 0.0053678
Parameter c =  0.035689

Estimated grain yield (kg/ha) :
    0.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
236  87 1263.1    nan   6.42   968.7   6.16  16.55   2.38    0.0
237  88 1277.9    nan   6.33   984.6   8.65  11.56   2.83    0.0
238  89 1291.8   6.19   6.24  1007.1  10.44   9.60   2.90    0.0
239  90 1305.2    nan   6.15  1034.1   7.38  13.61   1.78    0.0
240  91 1316.1    nan   6.07  1053.2   8.72  15.94   2.28    0.0
241  92 1327.1    nan   5.98  1075.9   2.78  15.49   2.44    0.0
242  93 1336.7    nan   5.90  1083.1   3.08  15.55   2.77    0.0
243  94 1349.6    nan   5.82  1091.0   5.14  13.54   2.95    0.0
244  95 1361.6    nan   5.74  1104.4   3.69  14.65   2.91    0.0
245  96 1372.9    nan   5.67  1113.9   4.88  14.07   3.19    0.0
246  97 1384.5    nan   5.59  1126.6   5.21  15.04   2.79    0.0
247  98 1397.9    nan   5.52  1140.1   6.08  14.51   3.72    0.0
248  99 1413.4    nan   5.45  1155.8   1.07  13.99   3.47    0.0
249 100 1425.5    nan   5.38  1158.6   5.28  13.28   3.79    0.0
250 101 1435.5    nan   5.31  1172.3   9.42  13.85   3.70    0.0
251 102 1446.5    nan   5.25  1196.7   7.58   6.25   3.92    0.0
252 103 1457.6    nan   5.18  1216.4   3.99  10.35   2.72    0.0
253 104 1470.1    nan   5.11  1226.7   5.26  14.11   2.53    0.0
254 105 1481.4    nan   5.05  1240.4   7.00  13.96   2.82    0.0
255 106 1493.4    nan   4.98  1258.5   2.50  13.99   3.12    0.0
256 107 1504.3    nan   4.92  1265.0   2.86  12.30   3.40    0.0
257 108 1516.9    nan   4.85  1272.4   6.68  13.75   3.33    0.0
258 109 1530.7   5.03   4.79  1289.7   7.83  13.68   3.87    0.0
259 110 1545.5    nan   4.73  1310.0   6.35   8.35   3.85    0.0
260 111 1561.2    nan   4.67  1326.4   7.75  12.87   2.80    0.0
