The parameter values used or converged in the simulated result:
Initial LAI  =  0.015299
Parameter a = 1.7286e-14
Parameter b = 0.00086156
Parameter c = 0.00060179

Estimated grain yield (kg/ha) :
 4555.5

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
143  85 1234.0    nan   3.06   740.2   9.30   9.35   2.88  357.9
144  86 1253.4    nan   3.04   764.3   8.88   9.60   3.01  371.0
145  87 1273.0    nan   3.01   787.4   6.99   7.93   3.09  383.2
146  88 1293.8    nan   2.99   805.5   9.15   8.90   2.86  392.4
147  89 1316.4    nan   2.96   829.2   5.51   9.07   2.93  403.9
148  90 1338.7    nan   2.93   843.5   5.79   6.86   3.25  410.6
149  91 1361.5   2.36   2.91   858.5   7.35   9.04   2.81  417.1
150  92 1385.9    nan   2.88   877.5   3.45   8.95   3.41  424.9
151  93 1408.0    nan   2.86   886.5   7.31   2.85   3.35  428.3
152  94 1429.3    nan   2.83   905.4   8.81   3.05   2.04  435.0
153  95 1453.1    nan   2.81   928.2   8.82   8.44   1.37  442.2
154  96 1477.9    nan   2.80   951.1   8.02   7.77   1.89  448.4
155  97 1502.9    nan   2.78   971.9   6.36   8.79   1.72  453.0
156  98 1527.0    nan   2.77   988.4   4.14   9.06   2.47  455.5
157  99 1549.6    nan   2.77   999.1   0.00   8.57   3.08  455.5
