The parameter values used or converged in the simulated result:
Initial LAI  =  0.011523
Parameter a =   0.15995
Parameter b =  0.002923
Parameter c = 8.947e-225

Estimated grain yield (kg/ha) :
    0.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
236  87 1197.4    nan   2.37   522.6   0.00   6.43   2.00    0.0
237  88 1210.7    nan   2.37   522.6   2.22   7.02   2.24    0.0
238  89 1224.7    nan   2.37   528.4   5.58   6.96   2.82    0.0
239  90 1239.9    nan   2.37   542.8   2.01   5.64   3.32    0.0
240  91 1252.5    nan   2.37   548.1   5.21   5.23   2.92    0.0
241  92 1266.0    nan   2.37   561.6   2.43   1.86   2.60    0.0
242  93 1279.6    nan   2.37   567.9   4.31   1.91   1.93    0.0
243  94 1293.9    nan   2.37   579.0   4.87   7.69   1.34    0.0
244  95 1308.8    nan   2.37   591.7   1.45   6.99   2.72    0.0
245  96 1321.1    nan   2.37   595.4   1.51   7.59   2.81    0.0
246  97 1331.4    nan   2.37   599.3   3.76   7.64   3.36    0.0
247  98 1343.0    nan   2.37   609.1   3.49   7.42   2.60    0.0
248  99 1354.4    nan   2.37   618.1   1.59   7.26   3.01    0.0
249 100 1364.2    nan   2.37   622.2   1.61   7.58   2.98    0.0
250 101 1372.7    nan   2.37   626.4   1.77   2.22   3.37    0.0
251 102 1383.5    nan   2.37   631.0   5.24   6.25   1.28    0.0
252 103 1395.2    nan   2.37   644.6   4.42   7.82   2.19    0.0
253 104 1406.6    nan   2.37   656.0   1.93   7.41   2.42    0.0
254 105 1418.1    nan   2.37   661.0   5.47   4.56   3.11    0.0
255 106 1431.6    nan   2.37   675.2   4.81   7.47   2.67    0.0
256 107 1444.9    nan   2.37   687.7   4.13   7.84   2.37    0.0
257 108 1457.6    nan   2.37   698.4   1.88   7.86   2.41    0.0
258 109 1468.6    nan   2.37   703.3   6.08   7.72   3.35    0.0
259 110 1481.6    nan   2.37   719.0   2.59   6.52   4.17    0.0
260 111 1491.4   2.30   2.37   725.7   4.02   4.45   3.94    0.0
261 112 1503.3    nan   2.37   736.2   3.65   6.94   2.88    0.0
262 113 1515.1    nan   2.37   745.6   4.73   7.59   3.43    0.0
263 114 1527.1    nan   2.37   757.9   5.82   7.01   3.94    0.0
264 115 1538.8    nan   2.37   773.0   2.94   7.65   3.78    0.0
265 116 1549.9    nan   2.37   780.6   4.81   5.66   3.22    0.0
266 117 1561.7    nan   2.37   793.1   5.66   6.87   3.04    0.0
267 118 1571.9    nan   2.37   807.7   5.13   7.64   3.15    0.0
268 119 1581.3    nan   2.37   821.0   4.13   7.73   3.41    0.0
269 120 1591.5    nan   2.37   831.7   3.46   4.65   2.90    0.0
270 121 1602.3    nan   2.37   840.7   3.23   6.67   1.96    0.0
271 122 1613.1    nan   2.37   849.1   2.83   7.89   2.92    0.0
272 123 1624.4    nan   2.37   856.4   0.87   3.55   3.90    0.0
273 124 1636.3    nan   2.37   858.7   2.96   8.00   2.48    0.0
274 125 1649.1    nan   2.37   866.3   2.96   7.04   3.05    0.0
275 126 1660.5    nan   2.37   874.0   3.65   5.45   3.91    0.0
276 127 1672.4    nan   2.37   883.5   5.37   7.72   3.31    0.0
277 128 1684.1    nan   2.37   897.4   4.52   7.98   4.03    0.0
278 129 1698.7    nan   2.37   909.1   5.00   4.70   3.91    0.0
279 130 1711.8    nan   2.37   922.1   5.50   5.35   3.06    0.0
280 131 1724.1   2.40   2.37   936.3   2.86   7.18   3.03    0.0
281 132 1735.1    nan   2.37   943.7   2.72   7.73   4.45    0.0
282 133 1745.7    nan   2.37   950.8   4.44   6.79   4.53    0.0
283 134 1758.6    nan   2.37   962.3   3.36   3.04   4.11    0.0
284 135 1772.1    nan   2.37   971.0   1.30   2.65   2.40    0.0
285 136 1777.6    nan   2.37   974.4   1.01   3.04   2.78    0.0
286 137 1782.8    nan   2.37   977.0   2.70   6.72   1.99    0.0
287 138 1791.3    nan   2.37   984.0   3.73   7.68   3.60    0.0
288 139 1801.8    nan   2.37   993.6   2.67   2.60   4.44    0.0
289 140 1810.0    nan   2.37  1000.6   1.80   6.47   2.83    0.0
290 141 1811.1    nan   2.37  1005.2   5.34   8.05   2.74    0.0
291 142 1811.1    nan   2.37  1019.1   5.08   7.58   4.29    0.0
292 143 1811.1    nan   2.37  1032.2   3.09   7.45   4.99    0.0
293 144 1812.4    nan   2.37  1040.3   3.44   7.42   3.62    0.0
294 145 1812.4    nan   2.37  1049.2   4.71   5.77   3.43    0.0
295 146 1812.4    nan   2.37  1061.4   4.68   5.61   3.87    0.0
296 147 1812.4    nan   2.37  1073.5   4.84   6.50   3.38    0.0
297 148 1813.9    nan   2.37  1086.1   4.23   8.00   3.68    0.0
298 149 1815.4    nan   2.37  1097.0   0.00   8.05   4.18    0.0
