Mean yield (ton/ha):273.704  std:221.852
 Max yield (ton/ha):826.467
 Min yield (ton/ha):  0.000

DOY  OLAI  Std_OLAI  SLAI  Std_SLAI     AGDM  Std_AGDM   NPP   GPP   ETc   PGP
199   nan       nan   1.7      0.92    258.4    145.36   2.2   5.0   1.2   0.2
200   nan       nan   1.8      0.92    264.1    147.21   2.4   2.4   1.5   0.3
201   1.5      0.66   1.8      0.93    270.3    149.04   4.6   5.4   1.7   0.4
202   nan       nan   1.8      0.93    282.1    153.06   2.6   3.2   1.4   0.7
203   nan       nan   1.9      0.93    289.0    155.17   3.0   4.5   1.4   0.9
204   nan       nan   1.9      0.93    296.8    157.41   1.6   5.4   1.6   1.2
205   nan       nan   1.9      0.92    301.1    158.83   3.5   4.5   1.9   1.2
206   nan       nan   1.9      0.92    310.2    161.75   3.2   5.7   1.5   1.8
207   nan       nan   2.0      0.91    318.5    164.09   3.7   5.3   1.3   2.4
208   nan       nan   2.0      0.90    328.2    166.66   5.0   5.7   1.7   3.3
209   1.9      0.64   2.0      0.90    341.1    170.25   5.0   6.1   1.7   4.7
210   nan       nan   2.1      0.89    354.0    173.66   4.2   5.6   1.9   6.2
211   nan       nan   2.1      0.88    365.0    176.37   3.3   2.5   1.9   7.7
212   nan       nan   2.1      0.87    373.6    178.03   3.8   3.1   1.4   8.8
213   nan       nan   2.2      0.86    383.4    180.16   4.0   6.3   1.4  10.3
214   nan       nan   2.2      0.85    393.8    182.40   5.0   6.7   1.7  12.0
215   nan       nan   2.2      0.84    406.8    185.23   4.6   6.4   1.7  14.2
216   nan       nan   2.3      0.83    418.6    187.83   4.7   5.7   2.1  16.2
217   2.3      0.77   2.3      0.83    430.8    190.06   5.5   6.1   2.2  18.5
218   nan       nan   2.3      0.82    445.0    192.61   2.7   6.4   1.9  21.2
219   nan       nan   2.4      0.82    452.1    193.70   1.5   6.4   1.9  22.6
220   nan       nan   2.4      0.81    455.9    194.24   4.8   6.5   2.1  23.4
221   nan       nan   2.4      0.81    468.3    196.22   5.7   3.2   2.2  26.1
222   nan       nan   2.4      0.81    483.2    198.39   3.7   6.5   1.7  29.4
223   nan       nan   2.5      0.81    492.7    199.77   5.3   6.2   2.6  31.6
224   nan       nan   2.5      0.81    506.4    201.62   1.8   7.1   2.3  34.7
225   2.6      0.85   2.5      0.81    511.0    202.00   3.6   6.7   1.7  35.8
226   nan       nan   2.6      0.82    520.3    203.11   2.4   7.5   1.7  38.2
227   nan       nan   2.6      0.82    526.5    203.84   5.2   7.2   2.1  39.8
228   nan       nan   2.6      0.83    540.1    205.24   3.1   6.4   2.1  43.4
229   nan       nan   2.6      0.84    548.0    206.06   6.4   5.7   2.1  45.5
230   nan       nan   2.6      0.85    564.6    207.68   4.0   4.5   2.5  50.2
231   nan       nan   2.7      0.86    574.9    208.79   5.9   6.8   2.5  53.1
232   nan       nan   2.7      0.86    590.2    209.97   5.8   4.6   2.8  57.9
233   2.8      0.87   2.7      0.87    605.2    211.10   5.5   5.1   2.2  62.6
234   nan       nan   2.7      0.88    619.5    212.06   5.9   7.1   1.9  67.8
235   nan       nan   2.7      0.89    634.9    213.19   3.1   7.9   2.1  73.4
236   nan       nan   2.7      0.90    642.9    213.66   3.1   8.0   2.6  76.4
237   nan       nan   2.8      0.90    650.8    214.42   0.9   3.6   2.7  79.5
238   nan       nan   2.8      0.91    653.3    214.61   1.4   6.4   2.2  80.4
239   nan       nan   2.8      0.91    656.9    214.75   4.3   5.6   1.9  81.9
240   nan       nan   2.8      0.91    668.1    215.50   2.8   7.5   1.8  86.5
241   2.9      0.86   2.8      0.91    675.5    216.15   1.0   7.5   2.1  89.7
242   nan       nan   2.8      0.92    678.2    216.36   5.0   8.2   2.2  90.8
243   nan       nan   2.8      0.92    691.2    217.32   3.5   8.1   2.7  96.5
244   nan       nan   2.8      0.92    700.2    218.20   4.5   6.5   2.9 100.6
245   nan       nan   2.8      0.92    711.7    218.95   3.6   5.4   2.2 105.8
246   nan       nan   2.8      0.91    721.1    219.51   3.3   6.5   2.7 110.1
247   nan       nan   2.8      0.91    729.5    219.84   5.3   6.6   3.0 114.0
248   nan       nan   2.8      0.91    743.4    220.84   3.9   8.1   2.5 120.5
249   3.0      0.82   2.8      0.91    753.5    221.61   4.4   8.1   2.9 125.4
250   nan       nan   2.8      0.91    764.8    222.39   6.1   7.8   3.1 130.9
251   nan       nan   2.8      0.91    780.6    223.75   2.6   8.1   3.4 138.8
252   nan       nan   2.8      0.91    787.3    224.40   1.3   7.2   2.9 142.2
253   nan       nan   2.8      0.90    790.6    224.71   0.9   7.2   2.6 143.9
254   nan       nan   2.8      0.90    793.0    224.88   2.0   7.9   2.9 145.1
255   nan       nan   2.8      0.90    798.3    225.43   2.7   8.0   3.1 147.9
256   nan       nan   2.8      0.90    805.4    225.74   4.7   7.6   3.3 151.6
257   3.0      0.78   2.8      0.89    817.6    226.85   5.1   8.5   2.9 158.2
258   nan       nan   2.8      0.89    830.8    228.13   5.8   7.1   3.4 165.3
259   nan       nan   2.8      0.88    845.8    229.51   5.4   3.3   3.5 173.5
260   nan       nan   2.8      0.88    859.9    230.88   5.2   7.8   2.3 181.4
261   nan       nan   2.8      0.88    873.3    232.14   5.1   8.0   3.0 188.9
262   nan       nan   2.8      0.87    886.6    233.22   1.3   8.3   3.2 196.5
263   nan       nan   2.8      0.87    890.1    233.32   2.5   5.9   3.8 198.5
264   nan       nan   2.8      0.86    896.5    234.18   1.0   3.4   3.3 202.2
265   2.9      0.74   2.7      0.86    898.9    234.32   1.3   3.8   2.0 203.7
266   nan       nan   2.7      0.86    902.3    234.54   5.5   5.8   2.1 205.6
267   nan       nan   2.7      0.86    916.4    235.94   5.0   5.4   2.9 214.0
268   nan       nan   2.7      0.85    929.5    237.31   4.8   7.0   2.9 221.7
269   nan       nan   2.7      0.85    942.0    238.59   4.6   6.4   3.3 229.1
270   nan       nan   2.7      0.85    954.0    239.79   3.5   7.6   2.9 236.3
271   nan       nan   2.7      0.85    963.1    240.63   1.3   7.5   3.2 237.9
272   nan       nan   2.5      0.94    788.7    239.68   3.8   5.3   3.1 278.0
273   2.7      0.74   2.5      0.93    798.4    240.96   5.0   5.7   2.5 285.1
274   nan       nan   2.5      0.92    811.3    242.69   3.5   6.5   2.5 294.5
275   nan       nan   2.5      0.91    820.4    243.94   1.7   5.0   2.9 301.1
276   nan       nan   2.5      0.90    824.8    244.57   3.6   7.2   2.6 304.3
277   nan       nan   2.5      0.89    834.1    245.82   2.9   5.3   3.0 311.2
278   nan       nan   2.5      0.88    841.7    246.81   4.2   7.1   2.7 316.7
279   nan       nan   2.5      0.88    852.6    248.28   3.0   6.1   3.5 322.5
280   nan       nan   2.4      0.93    807.3    254.24   4.2   4.5   3.1 357.6
281   2.7      0.81   2.4      0.92    818.3    255.97   3.3   4.4   1.8 366.4
282   nan       nan   2.4      0.92    826.7    257.21   3.8   6.2   1.9 373.1
283   nan       nan   2.4      0.91    836.6    258.72   4.0   6.3   2.6 380.9
284   nan       nan   2.4      0.91    846.9    260.28   1.4   6.5   2.7 389.0
285   nan       nan   2.4      0.91    850.6    260.88   2.5   5.4   2.8 391.9
286   nan       nan   2.3      0.91    857.1    261.90   2.0   5.1   2.9 397.1
287   nan       nan   2.3      0.91    862.3    262.74   1.8   6.5   3.0 399.4
288   nan       nan   2.0      0.82    750.8    247.80   3.8   3.2   3.0 423.3
289   1.6      0.82   2.0      0.82    760.6    249.61   3.2   4.1   2.3 431.8
290   nan       nan   2.0      0.81    768.9    251.16   3.5   5.5   2.1 439.0
291   nan       nan   2.0      0.81    778.1    252.86   3.5   6.5   2.2 447.0
292   nan       nan   2.0      0.81    787.2    254.49   2.6   6.5   2.8 454.8
293   nan       nan   1.9      0.80    793.9    255.64   2.5   2.8   2.9 460.7
294   nan       nan   1.9      0.80    800.5    256.83   3.1   5.4   2.4 466.3
295   nan       nan   1.9      0.80    808.6    258.28   2.9   4.0   1.9 473.3
296   nan       nan   1.9      0.78    800.3    248.14   2.7   6.4   1.7 488.3
297   1.5      0.73   1.9      0.78    807.4    249.51   2.7   6.0   2.3 494.4
298   nan       nan   1.8      0.78    814.3    250.86   3.0   6.3   2.4 500.2
299   nan       nan   1.8      0.78    822.2    252.37   3.2   6.2   2.8 506.8
300   nan       nan   1.8      0.78    830.6    253.92   2.6   4.8   3.2 513.8
301   nan       nan   1.8      0.78    837.2    255.14   3.0   4.3   2.3 519.5
302   nan       nan   1.8      0.78    844.9    256.53   3.0   4.9   3.0 525.9
303   nan       nan   1.8      0.78    852.6    257.91   2.8   4.8   3.4 532.3
304   nan       nan   1.7      0.78    859.8    259.21   2.2   6.1   2.8 538.4
305   1.2      0.43   1.7      0.78    865.6    260.22   2.7   5.9   3.2 543.3
306   nan       nan   1.7      0.78    872.7    261.47   2.8   5.5   3.5 549.2
307   nan       nan   1.7      0.78    879.9    262.74   2.5   5.9   3.8 555.3
308   nan       nan   1.7      0.79    886.3    263.83   2.2   5.0   3.0 560.7
309   nan       nan   1.7      0.79    892.1    264.86   1.9   5.5   2.8 565.5
310   nan       nan   1.6      0.79    897.0    265.72   1.7   5.6   3.2 569.7
311   nan       nan   1.6      0.79    901.4    266.54   1.5   5.8   3.4 573.3
