The parameter values used or converged in the simulated result:
Initial LAI  =  0.028165
Parameter a =   0.75235
Parameter b = 0.0016555
Parameter c = 0.00031144

Estimated grain yield (kg/ha) :
 3021.2

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
209  87  812.0    nan   2.82   452.7   6.23   7.93   1.80    0.0
210  88  826.3    nan   2.87   468.9   5.22   7.40   2.11    0.0
211  89  841.5   2.99   2.92   482.4   3.34   2.54   2.13    0.0
212  90  856.2    nan   2.97   491.1   4.45   3.16   1.54    0.0
213  91  871.1    nan   3.02   502.6   4.84   8.48   1.51    0.0
214  92  887.2    nan   3.07   515.2   6.32   8.74   1.97    0.0
215  93  903.5    nan   3.12   531.6   5.91   8.51   1.95    0.0
216  94  918.7    nan   3.17   546.9   5.73   8.16   2.31    0.0
217  95  934.7    nan   3.22   561.7   6.69   7.99   2.55    0.0
218  96  951.6    nan   3.26   579.0   3.24   9.19   2.04    0.0
219  97  966.6   3.41   3.31   587.5   1.64   9.37   2.15    0.0
220  98  980.0    nan   3.35   591.7   6.03   9.16   2.45    0.0
221  99  995.5    nan   3.39   607.3   6.98   2.90   2.56    0.0
222 100 1010.8    nan   3.44   625.4   4.61   8.64   1.86    0.0
223 101 1026.1    nan   3.47   637.4   6.66   8.19   3.08    0.0
224 102 1043.2    nan   3.51   654.6   1.86   9.45   2.60    0.0
225 103 1055.3    nan   3.55   659.4   4.55   8.80   1.82    0.0
226 104 1070.1    nan   3.58   671.3   3.00  10.04   1.74    0.0
227 105 1085.4   3.65   3.61   679.0   6.29  10.23   2.30    0.0
228 106 1100.5    nan   3.64   695.3   3.83   8.47   2.36    0.0
229 107 1113.7    nan   3.66   705.3   7.85   7.31   2.32    0.0
230 108 1126.8    nan   3.68   725.6   5.19   4.61   2.85    0.0
231 109 1140.9    nan   3.70   739.1   7.01   8.31   2.55    0.0
232 110 1156.9    nan   3.71   757.2   6.82   5.11   3.00    9.5
233 111 1172.5    nan   3.72   774.9   6.29   6.51   2.19   19.1
234 112 1187.9    nan   3.73   791.2   6.96   8.77   1.96   28.2
235 113 1203.1   3.79   3.74   809.3   3.40  10.53   2.24   38.5
236 114 1217.4    nan   3.75   818.1   3.87  10.71   2.95   43.6
237 115 1230.1    nan   3.75   828.1   1.08   4.68   3.09   49.6
238 116 1239.5    nan   3.75   830.9   1.45   8.57   2.35   51.3
239 117 1251.5    nan   3.75   834.6   5.01   6.92   1.81   53.6
240 118 1266.2    nan   3.75   847.6   3.57  10.49   1.71   61.7
241 119 1281.5    nan   3.75   856.9   1.09   9.89   2.37   67.5
242 120 1294.2    nan   3.75   859.7   5.82  10.78   2.40   69.3
243 121 1307.6   3.86   3.75   874.8   4.28  10.67   2.95   79.1
244 122 1320.2    nan   3.75   885.9   5.16   7.16   3.33   86.4
245 123 1335.4    nan   3.75   899.2   3.82   6.33   2.21   95.3
246 124 1349.1    nan   3.75   909.2   3.40   8.48   2.94  102.0
247 125 1362.7    nan   3.75   918.0   6.06   8.20   3.46  108.0
248 126 1376.5    nan   3.75   933.7   4.55  10.91   2.70  118.8
249 127 1390.5    nan   3.75   945.5   4.84  10.70   3.35  127.0
250 128 1404.3    nan   3.75   958.0   7.27   9.97   3.61  135.9
251 129 1418.1   3.85   3.75   976.8   3.31  10.73   3.73  149.2
252 130 1429.1    nan   3.75   985.4   1.60   8.30   3.04  155.3
253 131 1439.7    nan   3.75   989.6   1.02   9.76   2.81  158.3
254 132 1451.5    nan   3.75   992.2   2.40  10.05   3.33  160.2
255 133 1463.5    nan   3.75   998.4   2.80  10.47   3.52  164.8
256 134 1474.2    nan   3.75  1005.7   5.66  10.04   3.72  170.1
257 135 1485.1    nan   3.74  1020.4   6.22  10.93   3.12  180.9
258 136 1497.0    nan   3.74  1036.5   6.93   8.74   3.78  192.8
259 137 1508.6   3.75   3.74  1054.5   6.64   2.26   3.92  206.2
260 138 1519.9    nan   3.74  1071.7   6.22  10.18   2.26  219.0
261 139 1530.5    nan   3.74  1087.8   5.94  10.61   3.29  231.1
262 140 1542.8    nan   3.74  1103.2   1.27  10.77   3.55  242.7
263 141 1552.8    nan   3.74  1106.5   3.25   7.40   4.41  245.1
264 142 1563.7    nan   3.74  1114.9   1.00   2.43   3.80  251.5
265 143 1573.1    nan   3.74  1117.5   1.34   2.90   1.80  253.5
266 144 1578.0    nan   3.74  1121.0   6.50   6.20   1.76  256.1
267 145 1582.9   3.60   3.74  1137.8   6.04   7.26   2.88  268.7
268 146 1586.6    nan   3.74  1153.5   5.74   9.32   3.05  280.5
269 147 1591.8    nan   3.74  1168.3   5.48   7.53   3.62  291.6
270 148 1598.3    nan   3.74  1182.5   4.08   9.35   3.02  302.1
271 149 1604.1    nan   3.74  1193.1   0.00   9.91   3.31  302.1
